country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,Connecticut,,2/15/2020,4,-4,16,8,-2,0
US,United States,Connecticut,,2/16/2020,5,-5,-4,3,0,0
US,United States,Connecticut,,2/17/2020,11,1,33,-1,-29,6
US,United States,Connecticut,,2/18/2020,-1,-5,-14,0,-8,3
US,United States,Connecticut,,2/19/2020,2,-1,12,4,0,0
US,United States,Connecticut,,2/20/2020,2,-1,2,3,2,0
US,United States,Connecticut,,2/21/2020,1,-5,-3,1,1,1
US,United States,Connecticut,,2/22/2020,10,-1,74,10,3,-2
US,United States,Connecticut,,2/23/2020,9,0,64,14,2,-1
US,United States,Connecticut,,2/24/2020,4,2,45,3,4,0
US,United States,Connecticut,,2/25/2020,1,-1,4,1,2,0
US,United States,Connecticut,,2/26/2020,5,1,3,2,2,0
US,United States,Connecticut,,2/27/2020,3,1,4,3,3,0
US,United States,Connecticut,,2/28/2020,4,0,1,3,3,0
US,United States,Connecticut,,2/29/2020,9,0,27,6,2,-2
US,United States,Connecticut,,3/1/2020,10,5,-1,10,3,-1
US,United States,Connecticut,,3/2/2020,7,8,31,2,4,-1
US,United States,Connecticut,,3/3/2020,6,10,19,5,3,-1
US,United States,Connecticut,,3/4/2020,6,8,22,4,2,-1
US,United States,Connecticut,,3/5/2020,7,8,29,5,3,-1
US,United States,Connecticut,,3/6/2020,2,1,1,2,2,1
US,United States,Connecticut,,3/7/2020,10,6,50,7,3,-1
US,United States,Connecticut,,3/8/2020,8,3,55,10,2,0
US,United States,Connecticut,,3/9/2020,9,8,95,2,2,-1
US,United States,Connecticut,,3/10/2020,4,9,24,0,1,0
US,United States,Connecticut,,3/11/2020,5,12,30,-3,-1,0
US,United States,Connecticut,,3/12/2020,5,34,10,-9,-2,2
US,United States,Connecticut,,3/13/2020,-4,30,6,-18,-12,6
US,United States,Connecticut,,3/14/2020,-7,16,95,-12,-3,3
US,United States,Connecticut,,3/15/2020,-13,4,56,-19,-8,5
US,United States,Connecticut,,3/16/2020,-7,26,16,-25,-23,9
US,United States,Connecticut,,3/17/2020,-27,8,-10,-30,-31,14
US,United States,Connecticut,,3/18/2020,-27,6,46,-30,-34,14
US,United States,Connecticut,,3/19/2020,-33,2,-12,-40,-36,17
US,United States,Connecticut,,3/20/2020,-32,12,12,-41,-37,18
US,United States,Connecticut,,3/21/2020,-38,1,100,-38,-26,11
US,United States,Connecticut,,3/22/2020,-43,-15,27,-48,-29,11
US,United States,Connecticut,,3/23/2020,-47,-24,-46,-53,-45,21
US,United States,Connecticut,,3/24/2020,-43,-16,17,-46,-47,21
US,United States,Connecticut,,3/25/2020,-46,-19,-21,-51,-49,22
US,United States,Connecticut,,3/26/2020,-41,-14,55,-48,-48,21
US,United States,Connecticut,,3/27/2020,-42,-16,55,-51,-47,22
US,United States,Connecticut,,3/28/2020,-48,-20,29,-55,-35,15
US,United States,Connecticut,,3/29/2020,-56,-32,-52,-64,-38,15
US,United States,Connecticut,,3/30/2020,-43,-19,-6,-53,-49,21
US,United States,Connecticut,,3/31/2020,-42,-18,8,-51,-51,22
US,United States,Connecticut,,4/1/2020,-40,-11,28,-49,-51,21
US,United States,Connecticut,,4/2/2020,-44,-12,-3,-54,-51,23
US,United States,Connecticut,,4/3/2020,-46,-12,-35,-59,-52,26
US,United States,Connecticut,,4/4/2020,-47,-15,88,-53,-38,15
US,United States,Connecticut,,4/5/2020,-50,-26,23,-61,-38,13
US,United States,Connecticut,,4/6/2020,-39,-16,60,-52,-52,21
US,United States,Connecticut,,4/7/2020,-41,-16,42,-50,-53,22
US,United States,Connecticut,,4/8/2020,-46,-17,-3,-54,-54,23
US,United States,Connecticut,,4/9/2020,-48,-17,-32,-59,-55,25
US,United States,Connecticut,,4/10/2020,-45,-10,-10,-59,-62,28
US,United States,Connecticut,,4/11/2020,-44,-9,76,-54,-40,15
US,United States,Connecticut,,4/12/2020,-65,-50,25,-62,-45,13
US,United States,Connecticut,,4/13/2020,-57,-41,-52,-66,-56,26
US,United States,Connecticut,,4/14/2020,-39,-14,35,-50,-52,21
US,United States,Connecticut,,4/15/2020,-36,-14,20,-52,-52,22
US,United States,Connecticut,,4/16/2020,-40,-15,8,-53,-52,23
US,United States,Connecticut,,4/17/2020,-42,-18,5,-55,-51,24
US,United States,Connecticut,,4/18/2020,-51,-24,-12,-59,-38,17
US,United States,Connecticut,,4/19/2020,-41,-23,73,-55,-34,11
US,United States,Connecticut,,4/20/2020,-39,-19,17,-52,-50,21
US,United States,Connecticut,,4/21/2020,-46,-25,-28,-55,-52,24
US,United States,Connecticut,,4/22/2020,-40,-17,5,-51,-52,22
US,United States,Connecticut,,4/23/2020,-41,-18,1,-52,-51,22
US,United States,Connecticut,,4/24/2020,-45,-22,-33,-58,-51,26
US,United States,Connecticut,,4/25/2020,-37,-17,174,-44,-33,11
US,United States,Connecticut,,4/26/2020,-50,-29,-41,-63,-36,14
US,United States,Connecticut,,4/27/2020,-40,-20,-18,-54,-49,22
US,United States,Connecticut,,4/28/2020,-33,-14,55,-45,-50,14
US,United States,Connecticut,,4/29/2020,-37,-17,19,-48,-51,21
US,United States,Connecticut,,4/30/2020,-42,-18,-24,-55,-51,23
US,United States,Connecticut,,5/1/2020,-37,-14,11,-51,-48,23
US,United States,Connecticut,,5/2/2020,-32,-11,180,-39,-30,10
US,United States,Connecticut,,5/3/2020,-30,-13,116,-44,-28,8
US,United States,Connecticut,,5/4/2020,-30,-11,34,-48,-48,19
US,United States,Connecticut,,5/5/2020,-27,-5,46,-43,-48,18
US,United States,Connecticut,,5/6/2020,-35,-13,4,-47,-49,20
US,United States,Connecticut,,5/7/2020,-31,-8,63,-44,-48,19
US,United States,Connecticut,,5/8/2020,-37,-10,-6,-51,-47,22
US,United States,Connecticut,,5/9/2020,-35,1,37,-48,-30,12
US,United States,Connecticut,,5/10/2020,-29,-7,61,-46,-26,8
US,United States,Connecticut,,5/11/2020,-35,-18,7,-47,-46,19
US,United States,Connecticut,,5/12/2020,-30,-11,44,-42,-46,18
US,United States,Connecticut,,5/13/2020,-29,-11,58,-40,-46,18
US,United States,Connecticut,,5/14/2020,-29,-11,74,-40,-46,18
US,United States,Connecticut,,5/15/2020,-31,-13,61,-45,-45,20
US,United States,Connecticut,,5/16/2020,-29,-11,193,-36,-26,8
US,United States,Connecticut,,5/17/2020,-29,-15,94,-44,-24,8
US,United States,Connecticut,,5/18/2020,-26,-12,40,-43,-44,17
US,United States,Connecticut,,5/19/2020,-25,-8,53,-39,-44,17
US,United States,Connecticut,,5/20/2020,-21,-7,74,-34,-44,17
US,United States,Connecticut,,5/21/2020,-22,-6,84,-34,-44,17
US,United States,Connecticut,,5/22/2020,-23,-6,92,-35,-43,17
US,United States,Connecticut,,5/23/2020,-32,-10,43,-39,-25,11
US,United States,Connecticut,,5/24/2020,-20,-6,137,-33,-20,5
US,United States,Connecticut,,5/25/2020,-29,-14,94,-50,-74,23
